websocat                 Command-line client for WebSockets                                            https://github.com/vi/websocat
wget                     Internet file retriever                                                       https://www.gnu.org/software/wget/
wifi-password            Show the current WiFi network password                                        https://github.com/rauchg/wifi-password
wimlib                   Library to create, extract, and modify Windows Imaging files                  https://wimlib.net/
wxwidgets                Cross-platform C++ GUI toolkit                                                https://www.wxwidgets.org
x264                     H.264/AVC encoder                                                             https://www.videolan.org/developers/x264.html
xcodegen                 Generate your Xcode project from a spec file and your folder structure        https://github.com/yonaskolb/XcodeGen
xz                       General-purpose data compression with high compression ratio                  https://tukaani.org/xz/
yarn                     JavaScript package manager                                                    https://yarnpkg.com/
yasm                     Modular BSD reimplementation of NASM                                          https://yasm.tortall.net/
yt-dlp                   Fork of youtube-dl with additional features and fixes                         https://github.com/yt-dlp/yt-dlp
zinit                    Flexible and fast Zsh plugin manager                                          https://zdharma-continuum.github.io/zinit/wiki/
zlib                     General-purpose lossless data-compression library                             https://zlib.net/
zsh                      UNIX shell (command interpreter)                                              https://www.zsh.org/
zsh-completions          Additional completion definitions for zsh                                     https://github.com/zsh-users/zsh-completions
zstd                     Zstandard is a real-time compression algorithm                                https://facebook.github.io/zstd/
